Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
STJ,St Jude Medical,Health Care,80.37,1.56,35.23,2.28,15.71,48.83,84.00,22.96,1.67,3.83,5.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STJ
SWK,Stanley Black & Decker,Consumer Discretionary,120.735,1.960,18.360,6.576,40.046,88.720,126.720,18.19,1.88,1.608,3.020,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWK
SPLS,Staples Inc.,Consumer Discretionary,9.96,4.85,,-0.71,7.14,7.24,11.37,6.48,1.36,0.32,1.40,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPLS
SBUX,Starbucks Corp.,Consumer Discretionary,58.63,1.74,30.86,1.90,4.03,50.84,61.79,85.33,4.88,4.00,14.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SBUX
HOT,Starwood Hotels & Resorts,Consumer Discretionary,77.05,0.00,,0.49,0.00,56.87,84.37,,0.00,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOT
STT,State Street Corp.,Financials,80.35,1.91,16.44,4.89,49.16,50.60,81.91,30.99,0.00,3.08,1.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STT
SRCL,Stericycle Inc,Industrials,74.40,,27.04,2.75,33.47,71.52,128.94,6.33,0.74264,1.76,2.20,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRCL
SYK,Stryker Corp.,Health Care,116.47,1.35,26.51,4.39,24.92,86.68,123.55,43.61,2.97,3.97,4.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYK
STI,SunTrust Banks,Financials,54.69,1.93,15.15,3.61,46.63,31.07,55.39,27.12,0.00,3.37,1.18,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STI
SYMC,Symantec Corp.,Information Technology,24.77,1.24,7.16,3.46,6.20,16.14,25.72,15.44,0.94,4.20,3.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYMC
SYF,Synchrony Financial,Financials,36.47,1.46,13.71,2.66,16.94,23.25,36.77,30.10,0.00,4.39,2.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYF
SYY,Sysco Corp.,Consumer Staples,55.265,2.450,30.567,1.808,5.502,38.840,55.285,30.23,2.81,0.574,9.875,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYY
TROW,T. Rowe Price Group,Financials,76.815,2.840,17.332,4.432,19.743,62.970,79.000,18.70,1.92,4.574,3.982,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TROW
TGT,Target Corp.,Consumer Discretionary,77.3146,3.1200,13.7570,5.6200,19.6370,65.5000,84.1400,43.43,7.47,0.6208,3.9639,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGT
TEL,TE Connectivity Ltd.,Information Technology,70.67,2.14,12.98,5.44,23.88,51.70,70.94,25.11,2.52,2.05,2.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TEL
TGNA,Tegna,Consumer Discretionary,23.14,2.46,11.47,2.02,10.27,17.91,27.02,4.96,1.16,1.53,2.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGNA
TDC,Teradata Corp.,Information Technology,28.60,,207.25,0.14,7.18,21.98,33.09,3.72,0.374,1.55,4.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDC
TSO,Tesoro Petroleum Co.,Energy,90.05,2.48,15.28,5.89,46.53,67.80,109.24,10.64,2.13,0.45,1.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSO
TXN,Texas Instruments,Information Technology,71.91,2.80,22.83,3.15,10.27,46.73,75.25,71.87,5.52,5.48,7.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXN
TXT,Textron Inc.,Industrials,48.39,0.17,13.57,3.57,20.92,30.69,49.15,13.08,1.60,0.93,2.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXT
BK,The Bank of New York Mellon Corp.,Financials,48.55,1.57,16.43,2.95,34.19,32.20,49.54,51.33,0.00,3.46,1.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BK
CLX,The Clorox Company,Consumer Staples,115.415,2.770,23.232,4.968,2.245,111.240,140.470,14.86,1.20,2.540,51.087,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CLX
KO,The Coca Cola Company,Consumer Staples,41.995,3.450,25.467,1.649,6.046,39.880,47.130,181.12,11.69,4.163,6.778,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO
HSY,The Hershey Company,Consumer Staples,100.27,2.51,26.56,3.78,4.19,82.42,117.79,21.28,1.76,2.83,23.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSY
MOS,The Mosaic Company,Materials,31.22,2.90,24.88,1.25,28.09,22.02,31.23,10.93,1.27,1.42,1.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MOS
TRV,The Travelers Companies Inc.,Financials,118.96,2.27,12.07,9.86,86.02,101.23,119.32,33.79,5.15,1.24,1.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRV
DIS,The Walt Disney Company,Consumer Discretionary,104.60,1.55,18.25,5.73,27.09,86.25,114.75,166.47,16.89,2.96,3.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIS
TMO,Thermo Fisher Scientific,Health Care,145.30,0.42,29.04,5.00,54.83,119.75,160.68,57.40,4.37,3.14,2.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMO
TIF,Tiffany & Co.,Consumer Discretionary,85.24,2.13,23.87,3.57,23.37,56.99,85.44,10.61,0.9348,2.66,3.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TIF
TWX,Time Warner Inc.,Consumer Discretionary,95.19,1.71,16.93,5.62,31.45,55.53,95.26,73.40,8.17,2.56,3.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TWX
TJX,TJX Companies Inc.,Consumer Discretionary,77.88,1.33,22.81,3.41,6.64,65.64,83.64,50.77,4.48,1.56,11.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TJX
TMK,Torchmark Corp.,Financials,73.85,0.77,16.65,4.43,42.78,48.47,74.33,8.76,0.86276,2.26,1.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMK
TSS,Total System Services,Information Technology,49.545,0.830,27.803,1.782,11.238,37.470,56.540,9.11,0.81133,2.399,4.360,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSS
TSCO,Tractor Supply Company,Consumer Discretionary,77.49,1.26,24.59,3.15,11.06,61.50,97.25,10.17,0.80887,1.54,6.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSCO
TDG,TransDigm Group,Industrials,249.42,0.00,24.01,10.39,-12.22,180.76,294.38,13.31,1.45,4.20,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDG
RIG,Transocean,Energy,15.44,0.00,4.88,3.16,41.27,7.67,15.50,5.64,1.77,1.25,0.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RIG
TRIP,TripAdvisor,Consumer Discretionary,49.16,,59.09,0.83,10.85,45.95,87.50,7.16,0.182,4.75,4.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRIP
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,28.155,1.280,18.609,1.513,7.441,22.660,31.250,52.24,6.69,1.914,3.849,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOXA
